TZ id,1 bed,2 bed,3 bed,4 bed
270,381,436,231,67
276,177,256,89,32
277,107,100,24,9
278,352,245,80,32
279,46,74,8,3
283,33,31,2,0
284,72,85,56,43
285,229,381,147,48
287,76,104,51,31
288,20,46,25,8
292,139,235,225,119
294,114,200,195,161
507,47,61,62,72
508,257,356,265,232
509,662,677,350,141
510,157,177,97,48
511,339,310,183,101
512,442,486,234,163
513,265,291,209,137
514,136,117,57,25
515,541,531,205,112
516,623,601,284,133
517,292,346,208,142
518,396,501,279,184
519,130,154,101,80
520,49,56,52,57
521,423,477,229,93
522,202,309,173,77
523,375,463,240,120
524,80,110,136,149
525,374,474,389,216
526,427,605,398,181
527,58,55,54,58
528,457,549,351,218
529,598,555,256,113
530,161,250,221,134
531,817,773,314,128
532,299,265,307,231
533,57,70,88,89
534,46,66,70,58
535,110,137,134,110
536,584,417,251,250
537,315,499,298,151
538,137,260,202,163
539,129,120,146,144
540,322,385,370,278
541,191,235,233,153
542,156,204,208,133
543,359,358,226,182
544,169,140,111,87
545,502,375,218,103
546,308,360,161,83
547,321,333,200,114
548,270,164,165,174
549,106,130,136,125
550,139,166,141,142
551,129,204,226,238
552,47,78,81,82
553,33,51,41,51
554,252,336,345,341
555,341,245,229,172
556,28,39,50,46
557,192,127,132,129
558,48,77,91,94
