TZ id,1 bed,2 bed,3 bed,4 bed
270,370,423,224,65
276,172,248,86,31
277,104,97,23,9
278,342,238,77,31
279,44,71,8,3
283,32,30,2,0
284,70,82,54,42
285,222,370,143,46
287,73,100,49,30
288,19,44,24,8
292,135,228,218,116
294,111,194,189,156
507,45,59,60,70
508,249,346,257,225
509,642,657,340,137
510,153,172,94,46
511,329,300,178,98
512,429,471,227,158
513,257,282,203,133
514,132,114,55,24
515,525,515,199,109
516,605,583,275,129
517,283,336,202,138
518,384,486,270,179
519,126,149,98,77
520,48,54,50,55
521,410,463,222,90
522,196,299,168,74
523,364,449,233,117
524,77,107,132,145
525,363,460,378,210
526,415,587,386,176
527,56,53,52,56
528,443,533,341,212
529,580,539,248,110
530,156,242,214,130
531,793,750,305,125
532,290,257,297,224
533,55,68,85,86
534,44,64,68,56
535,107,133,130,107
536,567,405,243,242
537,306,484,289,147
538,133,252,196,158
539,126,117,142,140
540,313,374,359,269
541,185,228,226,149
542,152,198,202,129
543,349,348,219,177
544,164,136,108,84
545,487,364,212,99
546,298,350,156,80
547,312,324,194,111
548,262,159,160,169
549,103,127,132,122
550,135,161,137,138
551,126,198,219,231
552,45,75,78,79
553,32,49,40,49
554,244,326,335,331
555,331,238,222,167
556,27,38,48,44
557,186,124,128,126
558,46,74,88,91
