TZ id,1 bed,2 bed,3 bed,4 bed
270,413,472,250,73
276,192,277,96,35
277,116,109,26,10
278,381,266,86,35
279,49,80,9,3
283,36,34,2,0
284,79,92,61,47
285,248,413,159,52
287,82,112,55,34
288,21,49,27,9
292,150,255,243,129
294,123,216,211,174
507,50,66,67,79
508,278,386,287,251
509,717,733,379,153
510,170,192,105,52
511,367,335,199,110
512,479,526,253,176
513,287,315,227,148
514,147,127,62,27
515,586,575,222,121
516,675,651,307,144
517,316,375,225,154
518,428,543,302,200
519,141,167,110,86
520,53,60,56,62
521,458,517,248,101
522,219,334,187,83
523,406,501,260,130
524,86,119,147,162
525,405,513,422,234
526,463,655,431,196
527,63,59,58,63
528,495,594,380,237
529,647,601,277,122
530,174,270,239,145
531,885,837,340,139
532,324,287,332,250
533,62,76,95,96
534,49,72,76,63
535,119,148,145,119
536,633,452,271,270
537,341,541,323,164
538,148,282,219,176
539,140,130,158,156
540,349,417,400,301
541,206,255,252,166
542,169,221,225,144
543,389,388,244,197
544,183,151,120,94
545,544,406,237,111
546,333,390,174,90
547,348,361,216,123
548,293,177,178,188
549,114,141,147,136
550,150,179,153,154
551,140,221,244,258
552,50,84,87,89
553,36,55,45,55
554,273,363,373,369
555,369,266,248,186
556,30,43,54,49
557,207,138,142,140
558,52,83,99,102
