O_Tz06,O_Sla06,O_Lga06,O_Ssd06,O_Sd06,O_State,D_Tz06,D_Sla06,D_Lga06,D_Ssd06,D_Sd06,D_Area,O_Zone06_abs,Dzn06_abs,Mode9,Freq,source not in tz,destination in tz,
2542,4500,4500,560,5,0,514,6550,6550,510,5,1,1145002542,1165500514,7,3,#N/A,514,#N/A
3371,4655,4650,1005,10,0,276,7205,7200,505,5,1,1146553371,1172050276,7,1,#N/A,276,#N/A
1095,4901,4900,525,5,0,521,6550,6550,510,5,1,1149011095,1165500521,7,3,#N/A,521,#N/A
1159,4904,4900,525,5,0,553,6550,6550,510,5,1,1149041159,1165500553,7,3,#N/A,553,#N/A
358,5200,5200,505,5,0,292,7205,7200,505,5,1,1152000358,1172050292,7,3,#N/A,292,#N/A
363,5200,5200,505,5,0,521,6550,6550,510,5,1,1152000363,1165500521,7,3,#N/A,521,#N/A
372,5200,5200,505,5,0,283,7205,7200,505,5,1,1152000372,1172050283,7,3,#N/A,283,#N/A
382,5200,5200,505,5,0,529,6550,6550,510,5,1,1152000382,1165500529,7,4,#N/A,529,#N/A
384,5200,5200,505,5,0,276,7205,7200,505,5,1,1152000384,1172050276,7,3,#N/A,276,#N/A
391,5200,5200,505,5,0,278,7205,7200,505,5,1,1152000391,1172050278,7,2,#N/A,278,#N/A
2320,5350,5350,555,5,0,287,7205,7200,505,5,1,1153502320,1172050287,7,3,#N/A,287,#N/A
3249,5905,5900,1005,10,0,279,7205,7200,505,5,1,1159053249,1172050279,7,3,#N/A,279,#N/A
1700,6251,6250,540,5,0,287,7205,7200,505,5,1,1162511700,1172050287,7,3,#N/A,287,#N/A
1705,6251,6250,540,5,0,524,6550,6550,510,5,1,1162511705,1165500524,7,3,#N/A,524,#N/A
1711,6251,6250,540,5,0,537,6550,6550,510,5,1,1162511711,1165500537,7,4,#N/A,537,#N/A
1869,6351,6350,545,5,0,552,6550,6550,510,5,1,1163511869,1165500552,7,3,#N/A,552,#N/A
572,6650,6650,515,5,0,529,6550,6550,510,5,1,1166500572,1165500529,7,3,#N/A,529,#N/A
573,6650,6650,515,5,0,527,6550,6550,510,5,1,1166500573,1165500527,7,4,#N/A,527,#N/A
578,6650,6650,515,5,0,520,6550,6550,510,5,1,1166500578,1165500520,7,3,#N/A,520,#N/A
579,6650,6650,515,5,0,557,6550,6550,510,5,1,1166500579,1165500557,7,4,#N/A,557,#N/A
584,6650,6650,515,5,0,527,6550,6550,510,5,1,1166500584,1165500527,7,3,#N/A,527,#N/A
587,6650,6650,515,5,0,287,7205,7200,505,5,1,1166500587,1172050287,7,3,#N/A,287,#N/A
589,6650,6650,515,5,0,521,6550,6550,510,5,1,1166500589,1165500521,7,3,#N/A,521,#N/A
590,6650,6650,515,5,0,292,7205,7200,505,5,1,1166500590,1172050292,7,3,#N/A,292,#N/A
591,6650,6650,515,5,0,553,6550,6550,510,5,1,1166500591,1165500553,7,3,#N/A,553,#N/A
591,6650,6650,515,5,0,284,7205,7200,505,5,1,1166500591,1172050284,7,3,#N/A,284,#N/A
596,6650,6650,515,5,0,552,6550,6550,510,5,1,1166500596,1165500552,7,3,#N/A,552,#N/A
607,6650,6650,515,5,0,553,6550,6550,510,5,1,1166500607,1165500553,7,3,#N/A,553,#N/A
610,6650,6650,515,5,0,541,6550,6550,510,5,1,1166500610,1165500541,7,3,#N/A,541,#N/A
2519,6700,6700,555,5,0,520,6550,6550,510,5,1,1167002519,1165500520,7,3,#N/A,520,#N/A
3733,6952,6950,1510,15,0,546,6550,6550,510,5,1,1169523733,1165500546,7,3,#N/A,546,#N/A
701,7151,7150,515,5,0,284,7205,7200,505,5,1,1171510701,1172050284,7,3,#N/A,284,#N/A
710,7151,7150,515,5,0,521,6550,6550,510,5,1,1171510710,1165500521,7,1,#N/A,521,#N/A
710,7151,7150,515,5,0,551,6550,6550,510,5,1,1171510710,1165500551,7,1,#N/A,551,#N/A
710,7151,7150,515,5,0,553,6550,6550,510,5,1,1171510710,1165500553,7,1,#N/A,553,#N/A
731,7151,7150,515,5,0,292,7205,7200,505,5,1,1171510731,1172050292,7,3,#N/A,292,#N/A
735,7151,7150,515,5,0,288,7205,7200,505,5,1,1171510735,1172050288,7,3,#N/A,288,#N/A
781,7152,7150,515,5,0,527,6550,6550,510,5,1,1171520781,1165500527,7,5,#N/A,527,#N/A
782,7152,7150,515,5,0,556,6550,6550,510,5,1,1171520782,1165500556,7,3,#N/A,556,#N/A
187,7204,7200,505,5,0,276,7205,7200,505,5,1,1172040187,1172050276,7,3,#N/A,276,#N/A
205,7204,7200,505,5,0,277,7205,7200,505,5,1,1172040205,1172050277,7,1,#N/A,277,#N/A
205,7204,7200,505,5,0,287,7205,7200,505,5,1,1172040205,1172050287,7,1,#N/A,287,#N/A
293,7205,7200,505,5,0,526,6550,6550,510,5,1,1172050293,1165500526,7,3,293,526,#N/A
230,7206,7200,505,5,0,520,6550,6550,510,5,1,1172060230,1165500520,7,4,#N/A,520,#N/A
235,7206,7200,505,5,0,515,6550,6550,510,5,1,1172060235,1165500515,7,1,#N/A,515,#N/A
