ID,activity_id,NAME,SUBURB,X,Y,TYPE,hotspotID,near_bus,near_train,note,travel_zone,note_entry
233,86402,Maroubra_ Anzac Pde nr Byng St,None,337384,6242599,Bus station,282,1,1,BUS_STOP,541,0
234,86409,Maroubra_ Maroubra Rd nr Hinkler St,None,336643,6243006,Bus station,287,1,1,BUS_STOP,540,0
235,86410,Maroubra_ Maroubra Rd nr French St,None,338300,6242841,Bus station,288,1,1,BUS_STOP,539,0
236,86411,Maroubra_ Maroubra Rd nr French St,None,338247,6242836,Bus station,288,1,1,BUS_STOP,539,0
237,86412,Maroubra_ Maroubra Rd nr The Causeway,None,338670,6242885,Bus station,291,1,1,BUS_STOP,543,0
238,86423,Maroubra_ Torrington Rd nr Marine Pde,None,339438,6242882,Bus station,294,1,1,BUS_STOP,543,0
239,86424,Maroubra_ Mons Av nr French St,None,338066,6242532,Bus station,295,1,1,BUS_STOP,542,0
240,86425,Maroubra_ Mons Av nr French St,None,338121,6242541,Bus station,295,1,1,BUS_STOP,542,0
241,86426,Maroubra_ Mons Av nr French St,None,337934,6242555,Bus station,295,1,1,BUS_STOP,542,0
242,86427,Maroubra_ Mons Av nr French St,None,337939,6242578,Bus station,295,1,1,BUS_STOP,542,0
243,86428,Maroubra_ Maroubra Rd nr Flower St,None,337997,6242826,Bus station,295,1,1,BUS_STOP,538,0
244,86429,Maroubra_ Maroubra Rd nr Flower St,None,338044,6242793,Bus station,295,1,1,BUS_STOP,539,0
245,86430,Maroubra_ Flower St nr Galvin St,None,338039,6242908,Bus station,295,1,1,BUS_STOP,539,0
246,86431,Maroubra_ Flower St nr Boyce Rd,None,338032,6242962,Bus station,295,1,1,BUS_STOP,539,0
247,86432,Maroubra_ Flower St nr Alma Rd,None,338067,6243078,Bus station,295,1,1,BUS_STOP,539,0
248,86433,Maroubra_ Mons Av nr Haig St,None,337743,6242725,Bus station,298,1,1,BUS_STOP,542,0
249,86434,Maroubra_ Mons Av nr Maroubra Rd,None,337738,6242826,Bus station,298,1,1,BUS_STOP,538,0
250,86435,Maroubra_ Maroubra Rd nr Mons Av,None,337805,6242833,Bus station,298,1,1,BUS_STOP,538,0
251,86436,Maroubra_ Maroubra Rd nr Mons Av,None,337716,6242868,Bus station,298,1,1,BUS_STOP,537,0
252,86441,Maroubra_ Maroubra Rd nr Hannan St,None,336882,6242967,Bus station,313,1,1,BUS_STOP,540,0
253,86442,Maroubra_ Maroubra Rd r Royal St,None,336644,6243030,Bus station,313,1,1,BUS_STOP,540,0
254,86443,Maroubra_ Maroubra Rd nr Hannan St,None,336838,6243001,Bus station,313,1,1,BUS_STOP,540,0
255,86448,Maroubra_ Maroubra Rd nr Malabar Rd,None,338630,6242934,Bus station,316,1,1,BUS_STOP,543,0
256,86449,Maroubra_ Maroubra Rd nr Malabar Rd,None,338432,6242996,Bus station,316,1,1,BUS_STOP,539,0
257,86450,Maroubra_ Maroubra Rd nr Malabar Rd,None,338484,6242986,Bus station,316,1,1,BUS_STOP,539,0
