TZ 06,1 BD,2 BD,3 BD,4 BD
270,417,477,253,74
276,194,280,97,35
277,163,163,29,10
278,372,312,87,20
283,11,5,0,0
284,79,93,61,48
285,250,417,161,52
287,63,97,56,34
288,22,40,24,11
292,152,254,245,130
294,125,227,211,173
508,283,417,310,289
509,684,681,384,163
510,212,257,156,104
511,403,359,219,138
512,466,521,258,178
513,270,310,213,145
515,497,509,208,120
516,740,694,330,150
517,323,366,216,150
518,449,563,331,214
519,121,154,125,101
520,51,53,59,61
521,532,574,314,125
522,223,331,184,87
523,459,572,284,140
524,72,86,104,119
525,361,464,423,224
526,455,655,477,210
527,56,51,60,61
528,509,608,393,245
529,597,541,255,106
530,140,232,217,161
531,901,853,342,139
532,336,288,340,250
533,70,93,85,74
534,69,82,102,102
535,120,150,146,120
536,614,429,249,247
537,357,548,350,157
538,190,288,232,172
539,88,137,148,160
540,335,406,389,302
541,202,259,238,174
542,189,219,233,142
543,392,398,245,212
544,199,150,109,96
545,552,425,266,125
546,350,401,180,83
547,314,340,197,104
548,300,181,179,188
549,93,137,145,144
550,217,249,225,202
551,150,228,251,265
552,35,57,68,62
554,283,383,393,403
555,379,285,257,203
557,244,186,194,210
558,42,67,80,70
