TZ 06,1 BD,2 BD,3 BD,4 BD
270,389,445,236,69
276,181,261,91,33
277,152,152,27,10
278,346,291,81,19
283,11,4,0,0
284,74,87,57,44
285,233,389,150,49
287,59,91,52,32
288,20,37,22,11
292,142,237,228,121
294,116,211,196,162
508,264,389,289,269
509,638,635,358,152
510,198,240,146,97
511,376,335,204,129
512,434,486,241,166
513,251,289,199,135
515,464,474,194,112
516,690,648,307,139
517,301,341,202,139
518,418,525,308,200
519,113,144,116,94
520,48,50,55,57
521,497,536,293,116
522,208,308,171,81
523,428,533,265,131
524,68,80,97,111
525,337,433,394,209
526,425,611,445,195
527,52,48,56,57
528,474,567,367,228
529,557,505,238,99
530,131,217,203,150
531,840,795,319,130
532,314,268,317,233
533,65,87,79,69
534,64,76,95,95
535,112,139,136,112
536,573,400,232,230
537,333,511,326,147
538,177,268,217,161
539,82,128,138,149
540,313,378,362,282
541,188,242,222,163
542,176,204,218,132
543,366,371,228,198
544,186,139,101,90
545,514,396,248,116
546,326,374,168,77
547,293,317,184,97
548,280,169,167,175
549,87,128,135,134
550,203,232,210,188
551,139,212,235,247
552,33,53,63,58
554,264,357,367,376
555,354,266,240,189
557,227,173,181,195
558,39,62,75,65
