TZ 06,1 BD,2 BD,3 BD,4 BD
270,401,458,243,71
276,186,269,94,34
277,157,157,28,10
278,357,299,84,20
283,11,4,0,0
284,76,89,59,46
285,241,401,155,50
287,61,94,53,33
288,21,38,23,11
292,146,244,235,125
294,120,218,202,167
508,272,401,298,278
509,657,654,369,157
510,204,247,150,100
511,388,345,210,133
512,447,501,248,171
513,259,298,205,139
515,478,489,200,115
516,711,667,317,144
517,310,352,208,144
518,431,541,318,206
519,116,148,120,97
520,49,51,57,59
521,512,552,302,120
522,214,318,176,84
523,441,550,273,135
524,70,83,100,114
525,347,446,406,216
526,438,629,458,201
527,53,49,58,59
528,489,585,378,235
529,574,520,245,102
530,135,223,209,155
531,865,820,329,134
532,323,276,327,241
533,67,89,82,71
534,66,78,98,98
535,115,144,140,115
536,590,413,239,237
537,343,527,336,151
538,183,276,223,165
539,85,132,143,153
540,322,390,373,291
541,194,249,229,168
542,182,210,224,136
543,377,382,235,204
544,192,144,104,93
545,530,408,256,120
546,336,385,173,79
547,302,327,189,100
548,288,174,172,181
549,89,132,139,138
550,209,239,217,194
551,144,219,242,255
552,34,54,65,60
554,272,368,378,388
555,365,274,247,195
557,234,179,186,201
558,40,64,77,67
