TZ 06,1 BD,2 BD,3 BD,4 BD
270,421,482,255,74
276,196,283,98,35
277,165,165,30,10
278,375,315,88,21
283,11,5,0,0
284,80,94,62,48
285,253,421,162,53
287,64,98,56,34
288,22,40,24,11
292,153,256,247,132
294,126,229,213,175
508,286,421,313,292
509,691,688,388,165
510,214,260,158,105
511,407,363,221,140
512,470,526,261,180
513,272,313,215,146
515,502,514,211,121
516,747,701,333,151
517,326,370,219,151
518,453,569,334,216
519,122,156,126,102
520,51,54,59,62
521,538,580,317,126
522,225,334,185,88
523,463,578,287,142
524,73,87,105,120
525,365,469,427,227
526,460,661,482,212
527,56,51,61,62
528,514,614,397,247
529,603,547,257,108
530,142,235,220,162
531,910,862,346,141
532,340,291,343,253
533,71,94,86,74
534,70,82,103,103
535,121,151,148,121
536,620,434,252,249
537,360,554,354,159
538,192,291,235,174
539,89,138,150,161
540,339,410,392,305
541,204,262,240,176
542,191,221,236,143
543,396,402,247,214
544,201,151,110,97
545,557,429,269,126
546,354,405,182,84
547,317,343,199,105
548,303,183,181,190
549,94,138,146,145
550,220,252,228,204
551,151,230,254,268
552,35,57,69,63
554,286,387,397,407
555,383,288,260,205
557,246,188,196,212
558,42,68,81,71
