TZ 06,1 BD,2 BD,3 BD,4 BD
270,391,447,237,69
276,182,262,91,33
277,153,153,28,10
278,348,292,82,19
283,11,4,0,0
284,74,87,57,45
285,235,391,151,49
287,59,91,52,32
288,20,37,22,11
292,142,238,229,122
294,117,212,197,162
508,265,391,291,271
509,641,638,360,153
510,199,241,147,98
511,378,337,205,130
512,436,488,242,167
513,253,291,200,136
515,466,477,195,113
516,693,651,309,140
517,303,343,203,140
518,420,528,310,201
519,114,144,117,94
520,48,50,55,57
521,499,538,294,117
522,209,310,172,82
523,430,536,266,132
524,68,81,98,111
525,339,435,396,210
526,427,614,447,196
527,52,48,56,57
528,477,570,368,229
529,560,507,239,100
530,132,218,204,151
531,844,799,321,131
532,315,270,319,235
533,66,87,80,69
534,65,76,96,96
535,113,140,137,113
536,575,402,234,231
537,334,514,328,148
538,178,270,218,161
539,83,128,139,150
540,314,380,364,283
541,189,243,223,163
542,177,205,219,133
543,367,373,229,199
544,187,140,102,90
545,517,398,249,117
546,328,376,169,78
547,294,319,185,98
548,281,170,168,176
549,87,128,136,135
550,204,234,211,189
551,140,213,236,248
552,33,53,64,58
554,265,359,368,378
555,356,268,241,190
557,228,174,182,196
558,39,63,75,66
