TZ 06,1 BD,2 BD,3 BD,4 BD
270,387,443,234,68
276,180,260,90,33
277,151,151,27,9
278,345,289,81,19
283,11,4,0,0
284,74,86,57,44
285,232,387,149,48
287,59,90,52,32
288,20,37,22,11
292,141,235,227,121
294,116,210,196,161
508,263,387,288,268
509,635,632,356,151
510,197,239,145,97
511,374,333,203,128
512,432,484,240,165
513,250,288,198,135
515,461,472,193,111
516,686,644,306,139
517,300,340,201,139
518,416,522,307,199
519,112,143,116,94
520,47,49,55,57
521,494,533,291,116
522,207,307,170,81
523,426,531,264,130
524,67,80,97,110
525,335,431,392,208
526,423,608,443,194
527,52,47,56,57
528,472,564,365,227
529,554,502,237,99
530,130,215,202,149
531,836,792,317,129
532,312,267,315,232
533,65,86,79,68
534,64,76,95,95
535,111,139,136,111
536,570,398,231,229
537,331,509,325,146
538,177,267,215,160
539,82,127,138,148
540,311,376,361,281
541,187,241,221,162
542,176,203,217,131
543,364,369,227,197
544,185,139,101,89
545,512,394,247,116
546,325,372,167,77
547,291,315,183,97
548,279,168,166,174
549,86,127,135,133
550,202,231,209,187
551,139,211,233,246
552,33,53,63,58
554,263,355,365,374
555,352,265,239,188
557,226,172,180,194
558,39,62,75,65
