TZ 06,1 BD,2 BD,3 BD,4 BD
270,379,434,230,67
276,176,255,89,32
277,148,148,27,9
278,338,283,79,19
283,10,4,0,0
284,72,84,56,43
285,228,379,146,47
287,58,89,50,31
288,20,36,22,10
292,138,231,223,118
294,113,206,192,158
508,258,379,282,263
509,622,619,349,148
510,193,234,142,95
511,367,327,199,126
512,423,474,235,162
513,245,282,194,132
515,452,463,190,109
516,673,632,300,136
517,294,333,197,136
518,408,512,301,195
519,110,140,113,92
520,46,48,54,56
521,484,522,285,113
522,203,301,167,79
523,417,520,259,128
524,66,78,95,108
525,329,422,384,204
526,414,596,434,191
527,50,46,55,56
528,463,553,358,223
529,543,493,232,97
530,128,211,198,146
531,819,776,311,127
532,306,262,309,228
533,64,84,77,67
534,63,74,93,93
535,109,136,133,109
536,558,391,227,225
537,325,499,318,143
538,173,262,211,157
539,80,125,135,145
540,305,369,353,275
541,183,236,216,159
542,172,199,212,129
543,357,362,223,193
544,181,136,99,88
545,502,386,242,113
546,318,365,164,75
547,285,309,179,95
548,273,165,163,171
549,84,125,132,131
550,198,227,205,183
551,136,207,229,241
552,32,52,62,57
554,258,348,358,367
555,345,260,234,184
557,222,169,176,191
558,38,61,73,64
