TZ 06,1 BD,2 BD,3 BD,4 BD
270,411,470,249,73
276,191,276,96,35
277,161,161,29,10
278,366,307,86,20
283,11,4,0,0
284,78,92,60,47
285,247,411,158,51
287,62,96,55,33
288,21,39,23,11
292,150,250,241,128
294,123,223,208,171
508,279,411,306,285
509,674,671,378,161
510,209,253,154,103
511,397,354,215,136
512,459,513,254,175
513,266,306,210,143
515,490,501,205,118
516,729,684,325,147
517,318,360,213,147
518,442,555,326,211
519,119,152,123,99
520,50,52,58,60
521,525,566,309,123
522,220,326,181,86
523,452,564,280,138
524,71,85,103,117
525,356,458,416,221
526,449,645,470,206
527,55,50,59,60
528,501,599,387,241
529,588,533,251,105
530,138,229,214,158
531,887,840,337,137
532,331,283,335,247
533,69,92,84,73
534,68,80,100,100
535,118,147,144,118
536,605,423,246,243
537,352,540,345,155
538,187,283,229,170
539,87,135,146,157
540,330,400,383,298
541,199,256,234,172
542,186,215,230,139
543,386,392,241,209
544,196,147,107,95
545,543,418,262,123
546,345,395,177,81
547,309,335,194,103
548,296,179,176,185
549,92,135,143,142
550,214,246,222,199
551,147,224,248,261
552,35,56,67,61
554,279,377,387,397
555,374,281,253,200
557,240,183,191,206
558,41,66,79,69
